Messpunkt;Frequenz;Amplitude;
1;0,1;0,5;
2;0,2;0,6;
3;0,3;0,8;
4;0,4;1,1;
5;0,5;3,0;
6;0,53;3,9;
7;0,6;1,8;
8;0,7;0,9;
9;0,8;0,5;
10;0,9;0,4;
11;1,0;0,2;
