Bildnummer;Zeit [s];X Position [cm];Y Position [cm];
207;8,24;-2,34;7,14;
208;8,28;-1,54;7,38;
209;8,32;0,09;7,63;
210;8,36;0,95;7,57;
211;8,4;1,82;7,45;
212;8,44;2,62;7,26;
213;8,48;3,38;6,92;
214;8,52;4,03;6,55;
215;8,56;5,17;5,72;
216;8,6;5,57;5,32;
217;8,64;5,91;4,92;
218;8,68;6,15;4,61;
219;8,72;6,34;4,37;
220;8,76;6,4;4,18;
221;8,8;6,49;4,09;
222;8,84;6,46;4,15;
223;8,88;6,34;4,31;
224;8,92;6,18;4,55;
225;8,96;5,97;4,86;
226;9;5,29;5,6;
227;9,04;4,83;6;
228;9,08;4,31;6,4;
229;9,12;3,69;6,74;
230;9,16;3,02;7,08;
231;9,2;2,25;7,32;
232;9,24;0,68;7,63;
233;9,28;-0,18;7,63;
234;9,32;-0,98;7,51;
235;9,36;-1,78;7,32;
236;9,4;-2,52;7,05;
237;9,44;-3,23;6,71;
238;9,48;-4,34;5,91;
239;9,52;-4,77;5,51;
240;9,56;-5,11;5,14;
241;9,6;-5,38;4,8;
242;9,64;-5,6;4,52;
243;9,68;-5,85;4,12;
244;9,72;-5,85;4,06;
245;9,76;-5,85;4,06;
246;9,8;-5,81;4,15;
247;9,84;-5,72;4,31;
248;9,88;-5,38;4,83;
249;9,92;-5,11;5,14;
250;9,96;-4,77;5,51;
251;10;-4,37;5,91;
252;10,04;-3,91;6,25;
253;10,08;-3,35;6,61;
254;10,12;-2,03;7,23;
255;10,16;-1,29;7,45;
256;10,2;-0,49;7,57;
257;10,24;0,31;7,63;
258;10,28;1,11;7,57;
259;10,32;2,68;7,2;
260;10,36;3,38;6,92;
261;10,4;4,03;6,58;
262;10,44;4,58;6,18;
263;10,48;5,08;5,81;
264;10,52;5,48;5,45;
265;10,56;6;4,8;
266;10,6;6,15;4,58;
267;10,64;6,28;4,46;
268;10,68;6,31;4,37;
269;10,72;6,31;4,4;
270;10,76;6,12;4,68;
271;10,8;5,94;4,86;
272;10,84;5,72;5,17;
273;10,88;5,38;5,48;
274;10,92;5,01;5,88;
275;10,96;4,58;6,21;
276;11;3,41;6,92;
277;11,04;2,77;7,17;
278;11,08;2;7,41;
279;11,12;1,26;7,57;
280;11,16;0,49;7,63;
281;11,2;-1,08;7,51;
282;11,24;-1,85;7,29;
283;11,28;-2,55;7,05;
284;11,32;-3,17;6,71;
285;11,36;-4,25;6;
286;11,4;-4,65;5,63;
287;11,44;-4,98;5,29;
288;11,48;-5,26;4,98;
289;11,52;-5,45;4,74;
290;11,56;-5,66;4,43;
291;11,6;-5,72;4,37;
292;11,64;-5,66;4,4;
293;11,68;-5,63;4,46;
294;11,72;-5,51;4,65;
295;11,76;-5,35;4,86;
296;11,8;-4,86;5,41;
297;11,84;-4,52;5,75;
298;11,88;-4,09;6,12;
299;11,92;-3,6;6,46;
300;11,96;-3,08;6,77;
301;12;-1,78;7,32;
302;12,04;-1,05;7,51;
303;12,08;-0,28;7,6;
304;12,12;0,46;7,63;
305;12,16;1,23;7,57;
306;12,2;1,97;7,41;
307;12,24;3,35;6,92;
308;12,28;3,97;6,58;
309;12,32;4,52;6,25;
310;12,36;4,95;5,91;
311;12,4;5,6;5,29;
312;12,44;5,85;5,05;
313;12,48;5,97;4,83;
314;12,52;6,09;4,74;
315;12,56;6,12;4,68;
316;12,6;6,03;4,8;
317;12,64;5,88;4,95;
318;12,68;5,69;5,17;
319;12,72;5,48;5,45;
320;12,76;5,11;5,75;
321;12,8;4,74;6,12;
322;12,84;3,78;6,74;
323;12,88;3,17;7,05;
324;12,92;2,49;7,26;
325;12,96;1,82;7,45;
326;13;1,08;7,6;
327;13,04;-0,43;7,6;
328;13,08;-1,17;7,45;
329;13,12;-1,88;7,29;
330;13,16;-2,52;7,08;
331;13,2;-3,17;6,77;
332;13,24;-3,66;6,43;
333;13,28;-4,52;5,75;
334;13,32;-4,83;5,45;
335;13,36;-5,11;5,17;
336;13,4;-5,41;4,8;
337;13,44;-5,48;4,68;
338;13,48;-5,48;4,65;
339;13,52;-5,48;4,68;
340;13,56;-5,41;4,8;
341;13,6;-5,29;4,95;
342;13,64;-4,86;5,41;
343;13,68;-4,61;5,69;
344;13,72;-4,25;6;
345;13,76;-3,81;6,31;
