Bildnummer;Zeit [s];X Position [cm];Y Position [cm];
1;0;0,36;7,71;
2;0,04;-6,64;2,16;
3;0,08;6,14;4,94;
4;0,12;6,48;4,44;
5;0,16;6,89;3,65;
6;0,2;7,04;3,44;
7;0,24;7,07;3,28;
8;0,28;7,07;3,28;
9;0,32;7,04;3,37;
10;0,36;6,82;3,84;
11;0,4;6,61;4,22;
12;0,44;6,33;4,62;
13;0,48;5,98;5,12;
14;0,52;5,54;5,62;
15;0,56;5,01;6,09;
16;0,6;3,73;6,97;
17;0,64;3,01;7,28;
18;0,68;2,3;7,59;
19;0,72;0,39;7,9;
20;0,76;-0,45;7,75;
21;0,8;-1,3;7,56;
22;0,84;-2,08;7,34;
23;0,88;-3,42;6,72;
24;0,92;-3,98;6,34;
25;0,96;-4,45;5,97;
26;1;-5,11;5,28;
27;1,04;-5,33;5;
28;1,08;-5,48;4,78;
29;1,12;-5,58;4,62;
30;1,16;-5,64;4,53;
31;1,2;-5,64;4,53;
32;1,24;-5,48;4,72;
33;1,28;-5,36;4,97;
34;1,32;-5,17;5,22;
35;1,36;-4,95;5,5;
36;1,4;-4,64;5,81;
37;1,44;-3,83;6,43;
38;1,48;-3,33;6,78;
39;1,52;-2,8;7,03;
40;1,56;-2,14;7,31;
41;1,6;-1,51;7,5;
42;1,64;-0,11;7,71;
43;1,68;0,73;7,59;
44;1,72;1,05;7,78;
45;1,76;2,11;7,4;
46;1,8;3,23;7,15;
47;1,84;3,76;6,97;
48;1,88;4,11;6,72;
49;1,92;4,58;6,43;
50;1,96;5,08;6,09;
51;2;5,2;5,93;
52;2,04;5,36;5,84;
53;2,08;5,42;5,75;
54;2,12;5,42;5,78;
55;2,16;5,26;5,9;
56;2,2;5,11;6,09;
57;2,24;4,92;6,22;
58;2,28;4,67;6,37;
59;2,32;4,39;6,53;
60;2,36;3,67;6,97;
61;2,4;3,3;7,28;
62;2,44;2,8;7,28;
63;2,48;2,26;7,56;
64;2,52;1,11;7,71;
65;2,56;0,61;7,68;
66;2,6;-0,2;7,53;
67;2,64;-0,95;7,47;
68;2,68;-1,23;7,47;
69;2,72;-1,67;7,43;
70;2,76;-2,55;7,12;
71;2,8;-2,86;6,9;
72;2,84;-3,11;6,87;
73;2,88;-3,42;6,62;
74;2,92;-3,83;6,4;
75;2,96;-3,95;6,34;
76;3;-3,98;6,37;
77;3,04;-3,95;6,28;
78;3,08;-3,76;6,34;
79;3,12;-3,67;6,5;
80;3,16;-3,55;6,62;
81;3,2;-3,33;6,68;
82;3,24;-3,01;6,9;
83;3,28;-2,67;7,03;
84;3,32;-1,92;7,34;
85;3,36;-1,92;7,28;
86;3,4;-1,14;7,53;
87;3,44;-1,05;7,65;
88;3,48;-0,58;7,81;
89;3,52;0,83;7,84;
90;3,56;1,17;7,56;
91;3,6;1,64;7,5;
92;3,64;2,05;7,43;
93;3,68;2,36;7,37;
94;3,72;3,05;7,28;
95;3,76;3,26;7,31;
96;3,8;3,42;6,97;
97;3,84;3,7;6,84;
98;3,88;3,67;6,93;
99;3,92;3,86;6,84;
100;3,96;3,92;6,87;
101;4;3,83;7,03;
102;4,04;3,73;6,97;
103;4,08;3,7;7;
104;4,12;3,36;7,15;
105;4,16;3,17;7,31;
106;4,2;2,83;7,22;
107;4,24;2,61;7,62;
108;4,28;2,33;7,37;
109;4,32;1,64;7,5;
110;4,36;1,17;7,53;
111;4,4;0,92;7,56;
112;4,44;0,48;7,47;
113;4,48;-0,64;7,59;
114;4,52;-0,92;7,53;
115;4,56;-1,55;7,34;
116;4,6;-1,7;7,31;
117;4,64;-1,7;7,28;
118;4,68;-1,89;7,34;
119;4,72;-2,3;7,15;
120;4,76;-2,3;7,09;
121;4,8;-2,36;7,09;
122;4,84;-2,42;7,09;
123;4,88;-2,67;7,06;
124;4,92;-2,26;7,09;
125;4,96;-2,2;7,28;
126;5;-2,08;7,18;
127;5,04;-1,95;7,25;
128;5,08;-1,73;7,37;
129;5,12;-1,33;7,53;
130;5,16;-1,08;7,5;
131;5,2;-0,83;7,62;
132;5,24;-0,48;7,68;
133;5,28;0,05;7,56;
134;5,32;0,36;7,84;
135;5,36;0,3;7,56;
136;5,4;0,89;7,53;
138;5,48;1,76;7,47;
139;5,52;1,86;7,65;
140;5,56;2,05;7,43;
141;5,6;2,33;7,31;
142;5,64;2,48;7,28;
143;5,68;2,58;7,25;
144;5,72;2,61;7,56;
145;5,76;2,64;7,47;
146;5,8;2,58;7,22;
147;5,84;2,55;7,25;
148;5,88;2,48;7,56;
149;5,92;2,33;7,56;
150;5,96;2,2;7,65;
151;6;1,89;7,43;
152;6,04;1,73;7,34;
153;6,08;1,48;7,5;
154;6,12;1,23;7,5;
155;6,16;0,86;7,62;
156;6,2;0,8;7,81;
157;6,24;0,36;7,62;
158;6,28;0,17;7,56;
159;6,32;-0,08;7,56;
160;6,36;-0,8;7,75;
161;6,4;-0,64;7,59;
162;6,44;-0,77;7,56;
163;6,48;-0,92;7,62;
164;6,52;-1,14;7,47;
165;6,56;-1,2;7,47;
166;6,6;-1,27;7,53;
167;6,64;-1,36;7,34;
168;6,68;-1,36;7,43;
