Bildnummer;Zeit [s];X Position [cm];Y Position [cm];
924;36,92;0,48;7,86;
925;36,96;0,44;7,89;
926;37;0,41;7,89;
927;37,04;0,41;7,86;
928;37,08;0,41;7,86;
929;37,12;0,38;7,89;
930;37,16;0,35;7,89;
931;37,2;0,32;7,89;
932;37,24;0,29;7,89;
933;37,28;0,25;7,89;
934;37,32;0,25;7,86;
935;37,36;0,25;7,86;
936;37,4;0,22;7,86;
937;37,44;0,22;7,89;
938;37,48;0,19;7,89;
939;37,52;0,19;7,89;
940;37,56;0,16;7,89;
941;37,6;0,16;7,86;
942;37,64;0,13;7,89;
943;37,68;0,16;7,89;
944;37,72;0,13;7,89;
945;37,76;0,16;7,89;
946;37,8;0,16;7,89;
947;37,84;0,19;7,89;
948;37,88;0,22;7,89;
949;37,92;0,22;7,86;
950;37,96;0,25;7,89;
951;38;0,25;7,89;
952;38,04;0,25;7,86;
953;38,08;0,29;7,86;
954;38,12;0,29;7,86;
955;38,16;0,32;7,89;
956;38,2;0,35;7,89;
957;38,24;0,35;7,89;
958;38,28;0,38;7,89;
959;38,32;0,38;7,89;
960;38,36;0,41;7,89;
961;38,4;0,41;7,89;
