Farbe;GelbL;GelbR;Rot;Violett;
404,7;152,4;255,1;255,0;254,8;
404,8;152,5;255,0;254,7;254,0;
435,8;153,4;254,2;254,1;253,0;
491,6;154,5;253,0;253,1;252,9;
496,0;154,5;253,0;253,0;252,3;
546,1;155,2;252,4;252,3;252,3;
577,0;155,5;252,1;252,1;251,9;
579,1;155,5;252,0;252,1;251,9;
607,0;155,7;251,5;251,8;251,7;
612,0;155,8;251,5;251,8;251,7;
623,4;155,9;251,5;251,6;251,6;
671,0;156,4;251,5;251,2;251,3;
